time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-17T16:35:23.910Z,19.089,-66.5375,59,2.38,md,7,295,0.7733,0.31,pr,pr2019048014,2019-02-17T20:24:04.131Z,"69km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,4.35,8.58,0.42,5,reviewed,pr,pr
2019-02-17T16:01:28.640Z,33.4808333,-116.4981667,13.19,0.75,ml,22,95,0.07395,0.14,ci,ci37533274,2019-02-17T16:05:11.111Z,"18km ESE of Anza, CA",earthquake,0.31,0.54,0.189,13,automatic,ci,ci
2019-02-17T15:34:56.514Z,63.2486,-150.4833,124,1.8,ml,,,,0.37,ak,ak01927mxkhb,2019-02-17T15:40:26.728Z,"78km W of Cantwell, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-02-17T15:18:42.070Z,34.0601667,-117.6328333,9.46,1.11,ml,12,94,0.08105,0.22,ci,ci37533266,2019-02-17T15:22:22.483Z,"1km NNW of Ontario, CA",earthquake,0.61,1.47,0.304,27,automatic,ci,ci
2019-02-17T14:46:15.820Z,33.5771667,-116.8158333,8.45,1.01,ml,37,37,0.04622,0.16,ci,ci37533242,2019-02-17T14:49:53.313Z,"13km W of Anza, CA",earthquake,0.22,0.5,0.216,27,automatic,ci,ci
2019-02-17T14:35:56.270Z,-3.3852,152.1089,367.93,6.4,mww,,23,0.802,1.51,us,us2000jj68,2019-02-17T16:42:34.375Z,"47km NW of Namatanai, Papua New Guinea",earthquake,9.1,5.8,0.054,33,reviewed,us,us
2019-02-17T14:24:41.369Z,63.1839,-151.4326,11.2,1.1,ml,,,,0.67,ak,ak01927m9yjs,2019-02-17T14:27:57.009Z,"117km NW of Talkeetna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-02-17T14:23:23.400Z,34.0565,-117.4966667,3.9,1.45,ml,51,27,0.03513,0.19,ci,ci37533226,2019-02-17T14:34:27.140Z,"5km NNW of Glen Avon, CA",earthquake,0.19,0.69,0.162,27,automatic,ci,ci
2019-02-17T14:18:17.410Z,34.0605,-117.4945,3.03,2.12,ml,81,22,0.03353,0.2,ci,ci37533218,2019-02-17T18:15:55.881Z,"5km SW of Fontana, CA",earthquake,0.16,0.35,0.207,24,automatic,ci,ci
2019-02-17T14:04:14.960Z,36.4296684,-121.0056686,7.3,1.88,md,14,176,0.01193,0.03,nc,nc73143176,2019-02-17T14:34:03.592Z,"17km SE of Pinnacles, CA",earthquake,0.37,0.59,0.32,10,automatic,nc,nc
2019-02-17T13:46:57.087Z,61.3614,-150.1226,21.3,2.8,ml,,,,0.84,ak,ak01927lt9y0,2019-02-17T17:03:10.108Z,"19km NW of Anchorage, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-02-17T13:33:41.190Z,37.8482,-115.91,26.5,2,ml,10,134.45,1.112,0.26,nn,nn00678042,2019-02-17T13:52:56.008Z,"55km SE of Warm Springs, Nevada",earthquake,,23,,,automatic,nn,nn
2019-02-17T13:24:25.610Z,34.057,-117.4976667,3.48,1.38,ml,40,33,0.03421,0.15,ci,ci37533210,2019-02-17T13:35:03.080Z,"5km NNW of Glen Avon, CA",earthquake,0.17,0.27,0.149,27,automatic,ci,ci
2019-02-17T13:22:08.130Z,-23.4992,-64.6382,10,5,mww,,79,3.302,1.26,us,us2000jj5u,2019-02-17T13:40:46.040Z,"23km NW of Yuto, Argentina",earthquake,8.3,1.9,0.073,18,reviewed,us,us
2019-02-17T13:02:29.960Z,19.4055004,-155.2624969,0.41,1.84,ml,19,86,0.007003,0.15,hv,hv70814981,2019-02-17T19:47:56.632Z,"3km SW of Volcano, Hawaii",earthquake,0.18,0.26,0.27,12,automatic,hv,hv
2019-02-17T12:32:05.331Z,63.0915,-151.556,1.3,2.7,ml,,,,1.06,ak,ak01927l4qa6,2019-02-17T13:19:25.040Z,"113km NW of Talkeetna, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-02-17T12:30:51.860Z,34.058,-117.4961667,3.44,1.22,ml,37,39,0.0343,0.16,ci,ci37533202,2019-02-17T12:34:36.598Z,"5km NNW of Glen Avon, CA",earthquake,0.17,0.28,0.191,29,automatic,ci,ci
2019-02-17T12:29:51.110Z,34.0615,-117.4933333,2.85,1.18,ml,35,31,0.03361,0.18,ci,ci37533194,2019-02-17T12:33:19.382Z,"5km SW of Fontana, CA",earthquake,0.24,0.4,0.157,29,automatic,ci,ci
2019-02-17T12:28:10.090Z,17.8881,-66.0156,12,2.07,md,9,258,0.1195,0.09,pr,pr2019048013,2019-02-17T15:56:36.511Z,"9km SSE of Arroyo, Puerto Rico",earthquake,0.63,0.3,0.66,7,reviewed,pr,pr
2019-02-17T12:25:35.393Z,63.1068,-151.5632,7.2,2.8,ml,,,,0.92,ak,ak01927l3akq,2019-02-17T13:12:42.040Z,"114km NW of Talkeetna, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-02-17T11:50:35.620Z,19.2296,-66.5465,40,3,md,5,315,0.7527,0.13,pr,pr2019048012,2019-02-17T15:55:58.216Z,"85km NNE of Arecibo, Puerto Rico",earthquake,1.49,5.56,0.09,3,reviewed,pr,pr
2019-02-17T11:36:47.650Z,35.2854996,-118.5321655,5.05,3.44,ml,87,38,0.0913,0.15,ci,ci37533186,2019-02-17T19:29:11.501Z,"19km NNW of Tehachapi, CA",earthquake,0.17,0.61,0.277,20,reviewed,ci,ci
2019-02-17T11:29:17.260Z,-55.1028,-31.6533,10,5,mb,,92,2.923,0.74,us,us2000jj4h,2019-02-17T11:45:01.040Z,South Georgia Island region,earthquake,11.5,1.9,0.07,65,reviewed,us,us
2019-02-17T11:13:53.670Z,36.8787,-117.662,0.2,0.8,ml,9,234.85,0.328,0.06,nn,nn00678023,2019-02-17T11:15:58.647Z,"46km NE of Lone Pine, California",earthquake,,9.3,,,automatic,nn,nn
2019-02-17T10:59:13.210Z,33.4993333,-116.785,4,0.32,ml,15,111,0.01826,0.19,ci,ci37533170,2019-02-17T11:02:55.685Z,"10km NE of Aguanga, CA",earthquake,0.48,0.64,0.116,5,automatic,ci,ci
2019-02-17T10:51:14.970Z,19.2251,-66.5153,12,2.79,md,10,314,0.7481,0.26,pr,pr2019048007,2019-02-17T12:16:13.350Z,"84km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,9.15,12.82,0.25,7,reviewed,pr,pr
2019-02-17T10:34:30.320Z,18.9878,-66.9285,33,2.99,md,12,223,0.5514,0.49,pr,pr2019048011,2019-02-17T13:14:43.052Z,"54km N of Isabela, Puerto Rico",earthquake,2.08,8.47,0.11,6,reviewed,pr,pr
2019-02-17T10:26:53.200Z,-50.8666,-74.5527,12.74,4.3,mb,,205,1.522,1.06,us,us2000jj3z,2019-02-17T10:53:38.040Z,"171km WSW of El Calafate, Argentina",earthquake,11.4,6.8,0.097,30,reviewed,us,us
2019-02-17T10:17:56.080Z,19.5415,-67.8933,70,2.83,md,5,293,1.1375,0.61,pr,pr2019048010,2019-02-17T13:08:16.040Z,"75km NNE of Punta Cana, Dominican Republic",earthquake,11.68,22.96,0.54,4,reviewed,pr,pr
2019-02-17T10:14:25.700Z,18.832,-68.6321,95,2.78,md,7,195,0.405,0.5,pr,pr2019048009,2019-02-17T13:06:36.040Z,"12km NNW of Otra Banda, Dominican Republic",earthquake,8.3,2.74,0.48,4,reviewed,pr,pr
2019-02-17T10:07:31.510Z,-26.3966,178.4366,614.34,4.6,mb,,124,8.617,0.68,us,us2000jj3x,2019-02-17T10:26:12.040Z,South of the Fiji Islands,earthquake,13.1,9.4,0.084,42,reviewed,us,us
2019-02-17T10:04:20.420Z,20.139,-155.8163,26.09,3.1,ml,,138,0.091,0.32,us,us2000jj3u,2019-02-17T19:51:00.081Z,"10km S of Kapaau, Hawaii",earthquake,4.1,8.7,0.057,40,reviewed,us,us
2019-02-17T09:58:59.620Z,19.4063339,-155.2868347,-1.08,1.91,md,8,91,0.01156,0.16,hv,hv70814841,2019-02-17T18:01:42.834Z,"5km WSW of Volcano, Hawaii",earthquake,0.17,0.7,0.15,6,automatic,hv,hv
2019-02-17T09:55:24.190Z,38.3516655,-122.4018326,8.27,3.7,mw,56,60,0.04493,0.12,nc,nc73143141,2019-02-17T21:11:31.400Z,"7km SSW of Yountville, CA",earthquake,0.21,0.52,,5,reviewed,nc,nc
2019-02-17T09:26:36.730Z,-11.5408,118.8331,10,4.2,mb,,92,4.423,0.77,us,us2000jj3r,2019-02-17T09:45:24.040Z,"205km SW of Tawui, Indonesia",earthquake,5.5,1.9,0.121,19,reviewed,us,us
2019-02-17T09:17:32.130Z,46.624,-119.8115,7,0.96,ml,15,83,,0.06,uw,uw61511926,2019-02-17T17:57:58.520Z,"10km SE of Desert Aire, Washington",earthquake,0.21,0.16,0.072721113,10,reviewed,uw,uw
2019-02-17T09:02:55.140Z,15.895,-87.5392,10,3.9,mb,,58,1.845,1.1,us,us2000jj3j,2019-02-17T20:12:15.383Z,"15km NW of Tela, Honduras",earthquake,4,2,0.114,20,reviewed,us,us
2019-02-17T09:00:00.217Z,64.9305,-146.4386,11.4,2,ml,,,,0.67,ak,ak01927j5k68,2019-02-17T09:06:27.188Z,"41km NE of Eielson Air Force Base, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-02-17T08:50:44.791Z,59.9971,-153.2112,120.5,2.1,ml,,,,0.64,ak,ak01927iuxsr,2019-02-17T09:00:02.040Z,"60km SSW of Redoubt Volcano, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-02-17T08:29:32.730Z,32.78,-116.5293333,-0.05,0.82,ml,9,126,0.1419,0.21,ci,ci37533162,2019-02-17T08:33:24.441Z,"5km S of Pine Valley, CA",earthquake,0.9,31.61,0.233,6,automatic,ci,ci
2019-02-17T08:23:01.750Z,18.799,-67.4365,10,2.7,md,18,200,0.4167,0.63,pr,pr2019048008,2019-02-17T12:53:11.979Z,"49km NW of San Antonio, Puerto Rico",earthquake,1.87,1.47,0.37,17,reviewed,pr,pr
2019-02-17T08:11:47.060Z,36.3755,-91.0728333,14.35,2.21,md,8,154,0.3119,0.29,nm,nm60075323,2019-02-17T14:52:51.820Z,"15km NW of Pocahontas, Arkansas",earthquake,3.26,5.18,0.132,4,reviewed,nm,nm
2019-02-17T07:50:55.673Z,63.2687,-151.1215,0,1.6,ml,,,,0.43,ak,ak01927i9j1b,2019-02-17T07:53:42.046Z,"109km W of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-02-17T07:37:51.460Z,42.90916667,-122.0901667,1.4,0.95,md,6,193,,0.2,uw,uw61511921,2019-02-17T18:03:39.960Z,"30km S of Diamond Lake, Oregon",earthquake,0.89,0.83,0.007123022,4,reviewed,uw,uw
2019-02-17T07:29:43.899Z,60.5458,-145.5073,23.7,1.6,ml,,,,0.5,ak,ak01927i503a,2019-02-17T07:32:28.024Z,"13km E of Cordova, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-02-17T07:20:07.453Z,63.1727,-150.6804,115.9,1.9,ml,,,,0.61,ak,ak01927i2zuf,2019-02-17T07:23:16.068Z,"90km WSW of Cantwell, Alaska",earthquake,,1.4,,,automatic,ak,ak
2019-02-17T07:15:54.644Z,61.8645,-149.3021,18.5,1.3,ml,,,,0.3,ak,ak01927i20w7,2019-02-17T07:20:05.116Z,"13km NNW of Fishhook, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-02-17T07:02:07.730Z,19.3218327,-155.1911621,5.58,2.25,ml,9,98,0.0513,0.03,hv,hv70814641,2019-02-17T07:07:52.110Z,"13km SSE of Volcano, Hawaii",earthquake,0.56,3.03,0.3,3,automatic,hv,hv
2019-02-17T06:24:02.820Z,19.1881676,-155.5196686,36.37,2.05,md,49,95,0.063,0.1,hv,hv70814606,2019-02-17T06:27:28.610Z,"4km WSW of Pahala, Hawaii",earthquake,0.59,0.98,0.13,16,automatic,hv,hv
2019-02-17T06:05:21.682Z,60.2978,-152.2782,89.8,2.3,ml,,,,0.47,ak,ak01927hedjz,2019-02-17T06:10:12.617Z,"33km SE of Redoubt Volcano, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-02-17T05:36:08.210Z,19.0035,-68.4358,109,3.03,md,18,173,0.4926,0.6,pr,pr2019048003,2019-02-17T07:05:20.369Z,"45km NNE of Otra Banda, Dominican Republic",earthquake,4.36,2.56,0.44,20,reviewed,pr,pr
2019-02-17T05:35:11.977Z,61.3883,-150.0403,33.6,2,ml,,,,0.57,ak,ak01927gzcpp,2019-02-17T05:38:16.243Z,"15km SSW of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-02-17T05:09:38.040Z,33.806,-117.1238333,5.42,0.77,ml,15,108,0.07528,0.11,ci,ci37533130,2019-02-17T05:13:18.926Z,"2km ENE of Nuevo, CA",earthquake,0.29,0.45,0.151,15,automatic,ci,ci
2019-02-17T05:08:28.330Z,19.3414993,-154.9853363,2.91,1.74,md,41,219,0.09339,0.18,hv,hv70814531,2019-02-17T05:11:56.470Z,"15km SSW of Leilani Estates, Hawaii",earthquake,0.71,0.97,0.16,19,automatic,hv,hv
2019-02-17T05:08:26.780Z,36.6775017,-121.3006668,2.15,2.13,md,19,168,0.06745,0.04,nc,nc73143096,2019-02-17T05:29:04.458Z,"13km S of Tres Pinos, CA",earthquake,0.33,1.28,0.22,15,automatic,nc,nc
2019-02-17T05:01:32.100Z,33.1325,-116.6106667,-0.17,1,ml,17,157,0.05255,0.3,ci,ci37533122,2019-02-17T05:05:29.023Z,"6km N of Julian, CA",earthquake,0.85,31.61,0.119,15,automatic,ci,ci
2019-02-17T04:51:18.683Z,63.1039,-151.5157,14.3,1.5,ml,,,,0.53,ak,ak01927ghd30,2019-02-17T04:55:58.264Z,"112km NW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-02-17T04:35:55.276Z,61.6845,-150.0231,23.2,1.9,ml,,,,0.52,ak,ak01927ge0hk,2019-02-17T04:39:04.583Z,"7km S of Willow, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-02-17T04:34:25.716Z,61.3496,-150.0823,19.9,2.5,ml,,,,0.7,ak,ak01927gdqho,2019-02-17T04:45:51.040Z,"17km NNW of Anchorage, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-02-17T04:23:50.740Z,61.2791,-150.5225,48.7,1.5,ml,,,,0.72,ak,ak01927gbfia,2019-02-17T04:26:41.354Z,"34km WNW of Anchorage, Alaska",earthquake,,1,,,automatic,ak,ak
2019-02-17T04:21:45.490Z,33.4826667,-116.7918333,3.85,0.57,ml,20,49,0.03047,0.25,ci,ci37533106,2019-02-17T04:25:28.272Z,"8km ENE of Aguanga, CA",earthquake,0.43,0.94,0.076,12,automatic,ci,ci
2019-02-17T04:05:57.170Z,18.9038,-64.0685,105,3.23,md,3,353,1.9365,0.5,pr,pr2019048006,2019-02-17T09:19:37.694Z,"79km NE of Road Town, British Virgin Islands",earthquake,24.76,22.58,0.55,3,reviewed,pr,pr
2019-02-17T04:03:32.690Z,-3.1996,146.6351,10,4.6,mb,,165,1.361,1.28,us,us2000jj1z,2019-02-17T04:34:17.040Z,"148km SSW of Lorengau, Papua New Guinea",earthquake,6.8,2,0.136,17,reviewed,us,us
2019-02-17T03:58:44.771Z,64.1066,-147.2825,8.8,1.9,ml,,,,0.91,ak,ak01927fxhgg,2019-02-17T04:02:56.786Z,"50km SSW of Salcha, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-02-17T03:51:28.100Z,19.3946,-67.713,33,2.91,md,7,332,1.1053,0.42,pr,pr2019048005,2019-02-17T09:19:10.519Z,"115km NE of Punta Cana, Dominican Republic",earthquake,4,26.04,0.34,7,reviewed,pr,pr
2019-02-17T03:45:30.106Z,61.4476,-149.89,29.4,1.4,ml,,,,0.67,ak,ak01927fuo2a,2019-02-17T03:48:33.552Z,"8km SSE of Big Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-02-17T03:36:19.500Z,33.1545,-116.6421667,15.71,1.41,ml,46,40,0.04473,0.2,ci,ci37533098,2019-02-17T03:40:07.093Z,"9km NNW of Julian, CA",earthquake,0.27,0.53,0.099,26,automatic,ci,ci
2019-02-17T03:26:38.350Z,19.2033,-66.5403,36,2.32,md,12,301,0.7263,0.34,pr,pr2019048004,2019-02-17T09:18:38.687Z,"82km NNE of Arecibo, Puerto Rico",earthquake,1.95,9.38,0.39,11,reviewed,pr,pr
2019-02-17T03:04:10.390Z,33.5108333,-116.5368333,10.22,0.9,ml,24,75,0.0468,0.16,ci,ci37533074,2019-02-17T03:07:37.663Z,"14km ESE of Anza, CA",earthquake,0.3,0.4,0.175,21,automatic,ci,ci
2019-02-17T03:03:36.180Z,33.5065,-116.5323333,9.9,0.8,ml,19,83,0.05088,0.16,ci,ci37533066,2019-02-17T03:07:05.216Z,"14km ESE of Anza, CA",earthquake,0.36,0.55,0.178,13,automatic,ci,ci
2019-02-17T02:58:32.400Z,22.4015,92.9181,10,4.8,mb,,39,0.674,0.84,us,us2000jj1j,2019-02-17T12:29:18.915Z,"10km SSW of Saiha, India",earthquake,7,1.9,0.077,53,reviewed,us,us
