time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-17T01:07:51.227Z,61.4825,-150.2207,36.3,3,ml,,,,0.66,ak,ak01927efp6o,2019-02-17T04:18:03.795Z,"14km WSW of Big Lake, Alaska",earthquake,,1.8,,,automatic,ak,ak
2019-02-17T00:53:06.890Z,17.8876,-66.0216,13,2.28,md,13,254,0.1154,0.18,pr,pr2019048001,2019-02-17T05:14:31.402Z,"9km SSE of Arroyo, Puerto Rico",earthquake,0.92,0.43,0.39,13,reviewed,pr,pr
2019-02-17T00:52:04.410Z,33.2236667,-116.7406667,10.14,1.93,ml,55,27,0.01951,0.23,ci,ci37533042,2019-02-17T01:03:06.290Z,"3km SE of Lake Henshaw, CA",earthquake,0.25,0.46,0.142,27,automatic,ci,ci
2019-02-17T00:32:16.230Z,35.0926667,-119.0571667,13.29,2.03,ml,25,71,0.1893,0.27,ci,ci37533018,2019-02-17T00:35:58.345Z,"20km NW of Grapevine, CA",earthquake,0.54,1.38,0.147,28,automatic,ci,ci
2019-02-17T00:11:15.137Z,64.9203,-147.2977,0,1.5,ml,,,,0.79,ak,ak01927dv1qf,2019-02-17T00:16:22.546Z,"17km NE of Badger, Alaska",earthquake,,29.1,,,automatic,ak,ak
2019-02-17T00:05:25.600Z,35.6662,-115.3887,0.1,1.6,ml,13,225.08,0.442,0.24,nn,nn00678006,2019-02-17T00:07:18.314Z,"27km SE of Sandy Valley, Nevada",earthquake,,12.6,,,automatic,nn,nn
2019-02-17T00:01:06.410Z,17.8376,-65.5256,15,2.2,md,5,329,0.4441,0.29,pr,pr2019048000,2019-02-17T05:14:54.909Z,"29km SSW of Esperanza, Puerto Rico",earthquake,2.3,1.78,0.51,4,reviewed,pr,pr
2019-02-16T23:58:01.510Z,36.3097,-115.685,2.1,0.8,ml,6,209.31,0.443,0.22,nn,nn00678004,2019-02-16T23:59:18.734Z,"29km ENE of Pahrump, Nevada",earthquake,,20,,,automatic,nn,nn
2019-02-16T23:48:58.725Z,64.9272,-147.9248,15.2,0.5,ml,,,,0.82,ak,ak0192648oz2,2019-02-16T23:50:57.325Z,"9km NW of College, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-02-16T23:46:15.470Z,33.4863333,-116.7941667,3.22,0.96,ml,32,37,0.02648,0.15,ci,ci37532978,2019-02-16T23:49:53.593Z,"8km NE of Aguanga, CA",earthquake,0.19,0.65,0.133,29,automatic,ci,ci
2019-02-16T23:15:09.272Z,64.6673,-148.9865,0,1.2,ml,,,,0.94,ak,ak0192641ikq,2019-02-16T23:20:11.283Z,"11km NNE of North Nenana, Alaska",earthquake,,1,,,automatic,ak,ak
2019-02-16T23:10:21.670Z,-12.1025,-74.2343,10,4.3,mb,,98,2.553,1.08,us,us2000jizi,2019-02-16T23:37:49.040Z,"69km NNW of Ayna, Peru",earthquake,4.7,1.9,0.125,18,reviewed,us,us
2019-02-16T23:09:50.770Z,54.2232,-161.6801,46.66,3.6,mb,,177,1.194,0.82,us,us2000jizh,2019-02-16T23:23:51.040Z,"126km SSE of Cold Bay, Alaska",earthquake,7.1,11.6,0.189,7,reviewed,us,us
2019-02-16T23:06:30.290Z,35.3098333,-118.5316667,3.88,2.1,ml,27,87,0.09256,0.18,ci,ci37532962,2019-02-16T23:17:17.950Z,"21km NNW of Tehachapi, CA",earthquake,0.3,1.27,0.194,27,automatic,ci,ci
2019-02-16T22:44:28.300Z,-27.9366,-67.0121,194.66,4.3,mb,,81,2.179,1.37,us,us2000jiza,2019-02-17T00:25:10.040Z,"27km SSE of Londres, Argentina",earthquake,8.1,12.2,0.217,6,reviewed,us,us
2019-02-16T22:35:08.630Z,69.5346,-144.1283,10,4,ml,,,,0.98,ak,ak019263kdhw,2019-02-16T23:01:15.284Z,"57km SSW of Kaktovik, Alaska",earthquake,,0,,,reviewed,ak,ak
2019-02-16T22:30:17.940Z,33.5148333,-116.7433333,4.24,1.06,ml,33,42,0.0477,0.22,ci,ci37532938,2019-02-16T22:34:05.857Z,"8km SW of Anza, CA",earthquake,0.28,0.55,0.169,27,automatic,ci,ci
2019-02-16T22:28:39.954Z,59.6106,-153.7845,137.1,2.3,ml,,,,0.54,ak,ak019263ixnc,2019-02-16T22:34:11.996Z,"65km ESE of Old Iliamna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-02-16T22:28:37.390Z,-30.7399,59.3991,10,4.9,mb,,86,10.08,0.51,us,us2000jiz9,2019-02-16T22:55:06.040Z,Southwest Indian Ridge,earthquake,9.2,1.9,0.093,36,reviewed,us,us
2019-02-16T22:05:30.730Z,38.7381667,-112.4931667,8.01,3.29,ml,27,46,0.1334,0.2,uu,uu60312977,2019-02-17T14:25:06.445Z,"30km SSW of Fillmore, Utah",earthquake,0.34,0.88,0.189,18,reviewed,uu,uu
2019-02-16T21:51:44.919Z,64.8513,-148.7061,16.8,1.3,ml,,,,0.48,ak,ak0192632fwt,2019-02-16T21:56:14.292Z,"32km W of Ester, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-02-16T21:49:24.260Z,53.566,161.1651,35,4.5,mb,,136,1.604,1.37,us,us2000jiyt,2019-02-16T22:07:35.040Z,"177km ENE of Petropavlovsk-Kamchatskiy, Russia",earthquake,9.9,2,0.087,39,reviewed,us,us
2019-02-16T21:22:50.860Z,44.4668333,-111.0103333,8.23,3.08,ml,25,73,0.1259,0.23,uu,uu60312957,2019-02-16T23:17:33.040Z,"14km W of Old Faithful Geyser, Wyoming",earthquake,0.41,1.34,0.276,8,reviewed,uu,uu
